Modelo,MAE (R$),RMSE (R$),R²,Melhores Parâmetros,MLflow Run ID
Lasso,2527.4564003817886,2917.8030592899418,0.9803337148959012,{'alpha': 1.0},185fb6692f7d431f9a85661bb6b018f9
Ridge,2528.621992537394,2919.7418016480515,0.980307571577614,{'alpha': 1.0},d496d0e81c4245388699aa9eba1a535f
XGBoost,2600.4039078767564,3058.3697169722536,0.9783932050813475,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",c75d0e9478974cd986ba939b49d109d2
Gradient Boosting,2609.8190263291817,3063.990866303523,0.9783137074100017,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",96265df37b774367a6700ccc2399b4b2
LightGBM,2611.795726362992,3085.47057679023,0.9780085837490129,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",41e5b9a8dd8e48c0909a3f2d2749806f
Random Forest,2746.9228933234745,3293.294913391379,0.9749463141765587,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",1e0b2d1e0a394803a55d592f50995501
